"","race","famType","edu1","edu2","income","icon"
"1","white","man","noHS",NA,"0-20",0
"2","white","man","HS",NA,"0-20",0
"3","white","man","someCollege",NA,"0-20",0
"4","white","man","BA",NA,"0-20",0
"5","white","man","grad",NA,"0-20",0
"6","black","man","noHS",NA,"0-20",0
"7","black","man","HS",NA,"0-20",0
"8","black","man","someCollege",NA,"0-20",0
"9","black","man","BA",NA,"0-20",0
"10","black","man","grad",NA,"0-20",0
"11","latino","man","noHS",NA,"0-20",0
"12","latino","man","HS",NA,"0-20",0
"13","latino","man","someCollege",NA,"0-20",0
"14","latino","man","BA",NA,"0-20",0
"15","latino","man","grad",NA,"0-20",0
"16","other","man","noHS",NA,"0-20",0
"17","other","man","HS",NA,"0-20",0
"18","other","man","someCollege",NA,"0-20",0
"19","other","man","BA",NA,"0-20",0
"20","other","man","grad",NA,"0-20",0
"21","white","woman","noHS",NA,"0-20",0
"22","white","woman","HS",NA,"0-20",0
"23","white","woman","someCollege",NA,"0-20",0
"24","white","woman","BA",NA,"0-20",0
"25","white","woman","grad",NA,"0-20",0
"26","black","woman","noHS",NA,"0-20",0
"27","black","woman","HS",NA,"0-20",0
"28","black","woman","someCollege",NA,"0-20",0
"29","black","woman","BA",NA,"0-20",0
"30","black","woman","grad",NA,"0-20",0
"31","latino","woman","noHS",NA,"0-20",0
"32","latino","woman","HS",NA,"0-20",0
"33","latino","woman","someCollege",NA,"0-20",0
"34","latino","woman","BA",NA,"0-20",0
"35","latino","woman","grad",NA,"0-20",0
"36","other","woman","noHS",NA,"0-20",0
"37","other","woman","HS",NA,"0-20",0
"38","other","woman","someCollege",NA,"0-20",0
"39","other","woman","BA",NA,"0-20",0
"40","other","woman","grad",NA,"0-20",0
"41","white","manDep","noHS",NA,"0-20",0
"42","white","manDep","HS",NA,"0-20",0
"43","white","manDep","someCollege",NA,"0-20",0
"44","white","manDep","BA",NA,"0-20",0
"45","white","manDep","grad",NA,"0-20",0
"46","black","manDep","noHS",NA,"0-20",0
"47","black","manDep","HS",NA,"0-20",0
"48","black","manDep","someCollege",NA,"0-20",0
"49","black","manDep","BA",NA,"0-20",0
"50","black","manDep","grad",NA,"0-20",0
"51","latino","manDep","noHS",NA,"0-20",0
"52","latino","manDep","HS",NA,"0-20",0
"53","latino","manDep","someCollege",NA,"0-20",0
"54","latino","manDep","BA",NA,"0-20",0
"55","latino","manDep","grad",NA,"0-20",0
"56","other","manDep","noHS",NA,"0-20",0
"57","other","manDep","HS",NA,"0-20",0
"58","other","manDep","someCollege",NA,"0-20",0
"59","other","manDep","BA",NA,"0-20",0
"60","other","manDep","grad",NA,"0-20",0
"61","white","womanDep","noHS",NA,"0-20",0
"62","white","womanDep","HS",NA,"0-20",0
"63","white","womanDep","someCollege",NA,"0-20",0
"64","white","womanDep","BA",NA,"0-20",0
"65","white","womanDep","grad",NA,"0-20",0
"66","black","womanDep","noHS",NA,"0-20",0
"67","black","womanDep","HS",NA,"0-20",0
"68","black","womanDep","someCollege",NA,"0-20",0
"69","black","womanDep","BA",NA,"0-20",0
"70","black","womanDep","grad",NA,"0-20",0
"71","latino","womanDep","noHS",NA,"0-20",0
"72","latino","womanDep","HS",NA,"0-20",0
"73","latino","womanDep","someCollege",NA,"0-20",0
"74","latino","womanDep","BA",NA,"0-20",0
"75","latino","womanDep","grad",NA,"0-20",0
"76","other","womanDep","noHS",NA,"0-20",0
"77","other","womanDep","HS",NA,"0-20",0
"78","other","womanDep","someCollege",NA,"0-20",0
"79","other","womanDep","BA",NA,"0-20",0
"80","other","womanDep","grad",NA,"0-20",0
"81","white","couple","noHS","BA","0-20",0
"82","white","couple","noHS","grad","0-20",0
"83","white","couple","noHS","HS","0-20",0
"84","white","couple","noHS","noHS","0-20",0
"85","white","couple","noHS","someCollege","0-20",0
"86","white","couple","HS","BA","0-20",0
"87","white","couple","HS","grad","0-20",0
"88","white","couple","HS","HS","0-20",0
"89","white","couple","HS","noHS","0-20",0
"90","white","couple","HS","someCollege","0-20",0
"91","white","couple","someCollege","BA","0-20",0
"92","white","couple","someCollege","grad","0-20",0
"93","white","couple","someCollege","HS","0-20",0
"94","white","couple","someCollege","noHS","0-20",0
"95","white","couple","someCollege","someCollege","0-20",0
"96","white","couple","BA","BA","0-20",0
"97","white","couple","BA","grad","0-20",0
"98","white","couple","BA","HS","0-20",0
"99","white","couple","BA","noHS","0-20",0
"100","white","couple","BA","someCollege","0-20",0
"101","white","couple","grad","BA","0-20",0
"102","white","couple","grad","grad","0-20",0
"103","white","couple","grad","HS","0-20",0
"104","white","couple","grad","noHS","0-20",0
"105","white","couple","grad","someCollege","0-20",0
"106","black","couple","noHS","BA","0-20",0
"107","black","couple","noHS","grad","0-20",0
"108","black","couple","noHS","HS","0-20",0
"109","black","couple","noHS","noHS","0-20",0
"110","black","couple","noHS","someCollege","0-20",0
"111","black","couple","HS","BA","0-20",0
"112","black","couple","HS","grad","0-20",0
"113","black","couple","HS","HS","0-20",0
"114","black","couple","HS","noHS","0-20",0
"115","black","couple","HS","someCollege","0-20",0
"116","black","couple","someCollege","BA","0-20",0
"117","black","couple","someCollege","grad","0-20",0
"118","black","couple","someCollege","HS","0-20",0
"119","black","couple","someCollege","noHS","0-20",0
"120","black","couple","someCollege","someCollege","0-20",0
"121","black","couple","BA","BA","0-20",0
"122","black","couple","BA","grad","0-20",0
"123","black","couple","BA","HS","0-20",0
"124","black","couple","BA","noHS","0-20",0
"125","black","couple","BA","someCollege","0-20",0
"126","black","couple","grad","BA","0-20",0
"127","black","couple","grad","grad","0-20",0
"128","black","couple","grad","HS","0-20",0
"129","black","couple","grad","noHS","0-20",0
"130","black","couple","grad","someCollege","0-20",0
"131","latino","couple","noHS","BA","0-20",0
"132","latino","couple","noHS","grad","0-20",0
"133","latino","couple","noHS","HS","0-20",0
"134","latino","couple","noHS","noHS","0-20",0
"135","latino","couple","noHS","someCollege","0-20",0
"136","latino","couple","HS","BA","0-20",0
"137","latino","couple","HS","grad","0-20",0
"138","latino","couple","HS","HS","0-20",0
"139","latino","couple","HS","noHS","0-20",0
"140","latino","couple","HS","someCollege","0-20",0
"141","latino","couple","someCollege","BA","0-20",0
"142","latino","couple","someCollege","grad","0-20",0
"143","latino","couple","someCollege","HS","0-20",0
"144","latino","couple","someCollege","noHS","0-20",0
"145","latino","couple","someCollege","someCollege","0-20",0
"146","latino","couple","BA","BA","0-20",0
"147","latino","couple","BA","grad","0-20",0
"148","latino","couple","BA","HS","0-20",0
"149","latino","couple","BA","noHS","0-20",0
"150","latino","couple","BA","someCollege","0-20",0
"151","latino","couple","grad","BA","0-20",0
"152","latino","couple","grad","grad","0-20",0
"153","latino","couple","grad","HS","0-20",0
"154","latino","couple","grad","noHS","0-20",0
"155","latino","couple","grad","someCollege","0-20",0
"156","other","couple","noHS","BA","0-20",0
"157","other","couple","noHS","grad","0-20",0
"158","other","couple","noHS","HS","0-20",0
"159","other","couple","noHS","noHS","0-20",0
"160","other","couple","noHS","someCollege","0-20",0
"161","other","couple","HS","BA","0-20",0
"162","other","couple","HS","grad","0-20",0
"163","other","couple","HS","HS","0-20",0
"164","other","couple","HS","noHS","0-20",0
"165","other","couple","HS","someCollege","0-20",0
"166","other","couple","someCollege","BA","0-20",0
"167","other","couple","someCollege","grad","0-20",0
"168","other","couple","someCollege","HS","0-20",0
"169","other","couple","someCollege","noHS","0-20",0
"170","other","couple","someCollege","someCollege","0-20",0
"171","other","couple","BA","BA","0-20",0
"172","other","couple","BA","grad","0-20",0
"173","other","couple","BA","HS","0-20",0
"174","other","couple","BA","noHS","0-20",0
"175","other","couple","BA","someCollege","0-20",0
"176","other","couple","grad","BA","0-20",0
"177","other","couple","grad","grad","0-20",0
"178","other","couple","grad","HS","0-20",0
"179","other","couple","grad","noHS","0-20",0
"180","other","couple","grad","someCollege","0-20",0
"181","white","man","noHS",NA,"20-40",0
"182","white","man","HS",NA,"20-40",0
"183","white","man","someCollege",NA,"20-40",0
"184","white","man","BA",NA,"20-40",0
"185","white","man","grad",NA,"20-40",0
"186","black","man","noHS",NA,"20-40",0
"187","black","man","HS",NA,"20-40",0
"188","black","man","someCollege",NA,"20-40",0
"189","black","man","BA",NA,"20-40",0
"190","black","man","grad",NA,"20-40",0
"191","latino","man","noHS",NA,"20-40",0
"192","latino","man","HS",NA,"20-40",0
"193","latino","man","someCollege",NA,"20-40",0
"194","latino","man","BA",NA,"20-40",0
"195","latino","man","grad",NA,"20-40",0
"196","other","man","noHS",NA,"20-40",0
"197","other","man","HS",NA,"20-40",0
"198","other","man","someCollege",NA,"20-40",0
"199","other","man","BA",NA,"20-40",0
"200","other","man","grad",NA,"20-40",0
"201","white","woman","noHS",NA,"20-40",0
"202","white","woman","HS",NA,"20-40",0
"203","white","woman","someCollege",NA,"20-40",0
"204","white","woman","BA",NA,"20-40",0
"205","white","woman","grad",NA,"20-40",0
"206","black","woman","noHS",NA,"20-40",0
"207","black","woman","HS",NA,"20-40",0
"208","black","woman","someCollege",NA,"20-40",0
"209","black","woman","BA",NA,"20-40",0
"210","black","woman","grad",NA,"20-40",0
"211","latino","woman","noHS",NA,"20-40",0
"212","latino","woman","HS",NA,"20-40",0
"213","latino","woman","someCollege",NA,"20-40",0
"214","latino","woman","BA",NA,"20-40",0
"215","latino","woman","grad",NA,"20-40",0
"216","other","woman","noHS",NA,"20-40",0
"217","other","woman","HS",NA,"20-40",0
"218","other","woman","someCollege",NA,"20-40",0
"219","other","woman","BA",NA,"20-40",0
"220","other","woman","grad",NA,"20-40",0
"221","white","manDep","noHS",NA,"20-40",0
"222","white","manDep","HS",NA,"20-40",0
"223","white","manDep","someCollege",NA,"20-40",0
"224","white","manDep","BA",NA,"20-40",0
"225","white","manDep","grad",NA,"20-40",0
"226","black","manDep","noHS",NA,"20-40",0
"227","black","manDep","HS",NA,"20-40",0
"228","black","manDep","someCollege",NA,"20-40",0
"229","black","manDep","BA",NA,"20-40",0
"230","black","manDep","grad",NA,"20-40",0
"231","latino","manDep","noHS",NA,"20-40",0
"232","latino","manDep","HS",NA,"20-40",0
"233","latino","manDep","someCollege",NA,"20-40",0
"234","latino","manDep","BA",NA,"20-40",0
"235","latino","manDep","grad",NA,"20-40",0
"236","other","manDep","noHS",NA,"20-40",0
"237","other","manDep","HS",NA,"20-40",0
"238","other","manDep","someCollege",NA,"20-40",0
"239","other","manDep","BA",NA,"20-40",0
"240","other","manDep","grad",NA,"20-40",0
"241","white","womanDep","noHS",NA,"20-40",0
"242","white","womanDep","HS",NA,"20-40",0
"243","white","womanDep","someCollege",NA,"20-40",0
"244","white","womanDep","BA",NA,"20-40",0
"245","white","womanDep","grad",NA,"20-40",0
"246","black","womanDep","noHS",NA,"20-40",0
"247","black","womanDep","HS",NA,"20-40",0
"248","black","womanDep","someCollege",NA,"20-40",0
"249","black","womanDep","BA",NA,"20-40",0
"250","black","womanDep","grad",NA,"20-40",0
"251","latino","womanDep","noHS",NA,"20-40",0
"252","latino","womanDep","HS",NA,"20-40",0
"253","latino","womanDep","someCollege",NA,"20-40",0
"254","latino","womanDep","BA",NA,"20-40",0
"255","latino","womanDep","grad",NA,"20-40",0
"256","other","womanDep","noHS",NA,"20-40",0
"257","other","womanDep","HS",NA,"20-40",0
"258","other","womanDep","someCollege",NA,"20-40",0
"259","other","womanDep","BA",NA,"20-40",0
"260","other","womanDep","grad",NA,"20-40",0
"261","white","couple","noHS","BA","20-40",0
"262","white","couple","noHS","grad","20-40",0
"263","white","couple","noHS","HS","20-40",0
"264","white","couple","noHS","noHS","20-40",0
"265","white","couple","noHS","someCollege","20-40",0
"266","white","couple","HS","BA","20-40",0
"267","white","couple","HS","grad","20-40",0
"268","white","couple","HS","HS","20-40",0
"269","white","couple","HS","noHS","20-40",0
"270","white","couple","HS","someCollege","20-40",0
"271","white","couple","someCollege","BA","20-40",0
"272","white","couple","someCollege","grad","20-40",0
"273","white","couple","someCollege","HS","20-40",0
"274","white","couple","someCollege","noHS","20-40",0
"275","white","couple","someCollege","someCollege","20-40",0
"276","white","couple","BA","BA","20-40",0
"277","white","couple","BA","grad","20-40",0
"278","white","couple","BA","HS","20-40",0
"279","white","couple","BA","noHS","20-40",0
"280","white","couple","BA","someCollege","20-40",0
"281","white","couple","grad","BA","20-40",0
"282","white","couple","grad","grad","20-40",0
"283","white","couple","grad","HS","20-40",0
"284","white","couple","grad","noHS","20-40",0
"285","white","couple","grad","someCollege","20-40",0
"286","black","couple","noHS","BA","20-40",0
"287","black","couple","noHS","grad","20-40",0
"288","black","couple","noHS","HS","20-40",0
"289","black","couple","noHS","noHS","20-40",0
"290","black","couple","noHS","someCollege","20-40",0
"291","black","couple","HS","BA","20-40",0
"292","black","couple","HS","grad","20-40",0
"293","black","couple","HS","HS","20-40",0
"294","black","couple","HS","noHS","20-40",0
"295","black","couple","HS","someCollege","20-40",0
"296","black","couple","someCollege","BA","20-40",0
"297","black","couple","someCollege","grad","20-40",0
"298","black","couple","someCollege","HS","20-40",0
"299","black","couple","someCollege","noHS","20-40",0
"300","black","couple","someCollege","someCollege","20-40",0
"301","black","couple","BA","BA","20-40",0
"302","black","couple","BA","grad","20-40",0
"303","black","couple","BA","HS","20-40",0
"304","black","couple","BA","noHS","20-40",0
"305","black","couple","BA","someCollege","20-40",0
"306","black","couple","grad","BA","20-40",0
"307","black","couple","grad","grad","20-40",0
"308","black","couple","grad","HS","20-40",0
"309","black","couple","grad","noHS","20-40",0
"310","black","couple","grad","someCollege","20-40",0
"311","latino","couple","noHS","BA","20-40",0
"312","latino","couple","noHS","grad","20-40",0
"313","latino","couple","noHS","HS","20-40",0
"314","latino","couple","noHS","noHS","20-40",0
"315","latino","couple","noHS","someCollege","20-40",0
"316","latino","couple","HS","BA","20-40",0
"317","latino","couple","HS","grad","20-40",0
"318","latino","couple","HS","HS","20-40",0
"319","latino","couple","HS","noHS","20-40",0
"320","latino","couple","HS","someCollege","20-40",0
"321","latino","couple","someCollege","BA","20-40",0
"322","latino","couple","someCollege","grad","20-40",0
"323","latino","couple","someCollege","HS","20-40",0
"324","latino","couple","someCollege","noHS","20-40",0
"325","latino","couple","someCollege","someCollege","20-40",0
"326","latino","couple","BA","BA","20-40",0
"327","latino","couple","BA","grad","20-40",0
"328","latino","couple","BA","HS","20-40",0
"329","latino","couple","BA","noHS","20-40",0
"330","latino","couple","BA","someCollege","20-40",0
"331","latino","couple","grad","BA","20-40",0
"332","latino","couple","grad","grad","20-40",0
"333","latino","couple","grad","HS","20-40",0
"334","latino","couple","grad","noHS","20-40",0
"335","latino","couple","grad","someCollege","20-40",0
"336","other","couple","noHS","BA","20-40",0
"337","other","couple","noHS","grad","20-40",0
"338","other","couple","noHS","HS","20-40",0
"339","other","couple","noHS","noHS","20-40",0
"340","other","couple","noHS","someCollege","20-40",0
"341","other","couple","HS","BA","20-40",0
"342","other","couple","HS","grad","20-40",0
"343","other","couple","HS","HS","20-40",0
"344","other","couple","HS","noHS","20-40",0
"345","other","couple","HS","someCollege","20-40",0
"346","other","couple","someCollege","BA","20-40",0
"347","other","couple","someCollege","grad","20-40",0
"348","other","couple","someCollege","HS","20-40",0
"349","other","couple","someCollege","noHS","20-40",0
"350","other","couple","someCollege","someCollege","20-40",0
"351","other","couple","BA","BA","20-40",0
"352","other","couple","BA","grad","20-40",0
"353","other","couple","BA","HS","20-40",0
"354","other","couple","BA","noHS","20-40",0
"355","other","couple","BA","someCollege","20-40",0
"356","other","couple","grad","BA","20-40",0
"357","other","couple","grad","grad","20-40",0
"358","other","couple","grad","HS","20-40",0
"359","other","couple","grad","noHS","20-40",0
"360","other","couple","grad","someCollege","20-40",0
"361","white","man","noHS",NA,"40-60",0
"362","white","man","HS",NA,"40-60",0
"363","white","man","someCollege",NA,"40-60",0
"364","white","man","BA",NA,"40-60",0
"365","white","man","grad",NA,"40-60",0
"366","black","man","noHS",NA,"40-60",0
"367","black","man","HS",NA,"40-60",0
"368","black","man","someCollege",NA,"40-60",0
"369","black","man","BA",NA,"40-60",0
"370","black","man","grad",NA,"40-60",0
"371","latino","man","noHS",NA,"40-60",0
"372","latino","man","HS",NA,"40-60",0
"373","latino","man","someCollege",NA,"40-60",0
"374","latino","man","BA",NA,"40-60",0
"375","latino","man","grad",NA,"40-60",0
"376","other","man","noHS",NA,"40-60",0
"377","other","man","HS",NA,"40-60",0
"378","other","man","someCollege",NA,"40-60",0
"379","other","man","BA",NA,"40-60",0
"380","other","man","grad",NA,"40-60",0
"381","white","woman","noHS",NA,"40-60",0
"382","white","woman","HS",NA,"40-60",0
"383","white","woman","someCollege",NA,"40-60",0
"384","white","woman","BA",NA,"40-60",0
"385","white","woman","grad",NA,"40-60",0
"386","black","woman","noHS",NA,"40-60",0
"387","black","woman","HS",NA,"40-60",0
"388","black","woman","someCollege",NA,"40-60",0
"389","black","woman","BA",NA,"40-60",0
"390","black","woman","grad",NA,"40-60",0
"391","latino","woman","noHS",NA,"40-60",0
"392","latino","woman","HS",NA,"40-60",0
"393","latino","woman","someCollege",NA,"40-60",0
"394","latino","woman","BA",NA,"40-60",0
"395","latino","woman","grad",NA,"40-60",0
"396","other","woman","noHS",NA,"40-60",0
"397","other","woman","HS",NA,"40-60",0
"398","other","woman","someCollege",NA,"40-60",0
"399","other","woman","BA",NA,"40-60",0
"400","other","woman","grad",NA,"40-60",0
"401","white","manDep","noHS",NA,"40-60",0
"402","white","manDep","HS",NA,"40-60",0
"403","white","manDep","someCollege",NA,"40-60",0
"404","white","manDep","BA",NA,"40-60",0
"405","white","manDep","grad",NA,"40-60",0
"406","black","manDep","noHS",NA,"40-60",0
"407","black","manDep","HS",NA,"40-60",0
"408","black","manDep","someCollege",NA,"40-60",0
"409","black","manDep","BA",NA,"40-60",0
"410","black","manDep","grad",NA,"40-60",0
"411","latino","manDep","noHS",NA,"40-60",0
"412","latino","manDep","HS",NA,"40-60",0
"413","latino","manDep","someCollege",NA,"40-60",0
"414","latino","manDep","BA",NA,"40-60",0
"415","latino","manDep","grad",NA,"40-60",0
"416","other","manDep","noHS",NA,"40-60",0
"417","other","manDep","HS",NA,"40-60",0
"418","other","manDep","someCollege",NA,"40-60",0
"419","other","manDep","BA",NA,"40-60",0
"420","other","manDep","grad",NA,"40-60",0
"421","white","womanDep","noHS",NA,"40-60",0
"422","white","womanDep","HS",NA,"40-60",0
"423","white","womanDep","someCollege",NA,"40-60",0
"424","white","womanDep","BA",NA,"40-60",0
"425","white","womanDep","grad",NA,"40-60",0
"426","black","womanDep","noHS",NA,"40-60",0
"427","black","womanDep","HS",NA,"40-60",0
"428","black","womanDep","someCollege",NA,"40-60",0
"429","black","womanDep","BA",NA,"40-60",0
"430","black","womanDep","grad",NA,"40-60",0
"431","latino","womanDep","noHS",NA,"40-60",0
"432","latino","womanDep","HS",NA,"40-60",0
"433","latino","womanDep","someCollege",NA,"40-60",0
"434","latino","womanDep","BA",NA,"40-60",0
"435","latino","womanDep","grad",NA,"40-60",0
"436","other","womanDep","noHS",NA,"40-60",0
"437","other","womanDep","HS",NA,"40-60",0
"438","other","womanDep","someCollege",NA,"40-60",0
"439","other","womanDep","BA",NA,"40-60",0
"440","other","womanDep","grad",NA,"40-60",0
"441","white","couple","noHS","BA","40-60",0
"442","white","couple","noHS","grad","40-60",0
"443","white","couple","noHS","HS","40-60",0
"444","white","couple","noHS","noHS","40-60",0
"445","white","couple","noHS","someCollege","40-60",0
"446","white","couple","HS","BA","40-60",0
"447","white","couple","HS","grad","40-60",0
"448","white","couple","HS","HS","40-60",0
"449","white","couple","HS","noHS","40-60",0
"450","white","couple","HS","someCollege","40-60",0
"451","white","couple","someCollege","BA","40-60",0
"452","white","couple","someCollege","grad","40-60",0
"453","white","couple","someCollege","HS","40-60",0
"454","white","couple","someCollege","noHS","40-60",0
"455","white","couple","someCollege","someCollege","40-60",0
"456","white","couple","BA","BA","40-60",0
"457","white","couple","BA","grad","40-60",0
"458","white","couple","BA","HS","40-60",0
"459","white","couple","BA","noHS","40-60",0
"460","white","couple","BA","someCollege","40-60",0
"461","white","couple","grad","BA","40-60",0
"462","white","couple","grad","grad","40-60",0
"463","white","couple","grad","HS","40-60",0
"464","white","couple","grad","noHS","40-60",0
"465","white","couple","grad","someCollege","40-60",0
"466","black","couple","noHS","BA","40-60",0
"467","black","couple","noHS","grad","40-60",0
"468","black","couple","noHS","HS","40-60",0
"469","black","couple","noHS","noHS","40-60",0
"470","black","couple","noHS","someCollege","40-60",0
"471","black","couple","HS","BA","40-60",0
"472","black","couple","HS","grad","40-60",0
"473","black","couple","HS","HS","40-60",0
"474","black","couple","HS","noHS","40-60",0
"475","black","couple","HS","someCollege","40-60",0
"476","black","couple","someCollege","BA","40-60",0
"477","black","couple","someCollege","grad","40-60",0
"478","black","couple","someCollege","HS","40-60",0
"479","black","couple","someCollege","noHS","40-60",0
"480","black","couple","someCollege","someCollege","40-60",0
"481","black","couple","BA","BA","40-60",0
"482","black","couple","BA","grad","40-60",0
"483","black","couple","BA","HS","40-60",0
"484","black","couple","BA","noHS","40-60",0
"485","black","couple","BA","someCollege","40-60",0
"486","black","couple","grad","BA","40-60",0
"487","black","couple","grad","grad","40-60",0
"488","black","couple","grad","HS","40-60",0
"489","black","couple","grad","noHS","40-60",0
"490","black","couple","grad","someCollege","40-60",0
"491","latino","couple","noHS","BA","40-60",0
"492","latino","couple","noHS","grad","40-60",0
"493","latino","couple","noHS","HS","40-60",0
"494","latino","couple","noHS","noHS","40-60",0
"495","latino","couple","noHS","someCollege","40-60",0
"496","latino","couple","HS","BA","40-60",0
"497","latino","couple","HS","grad","40-60",0
"498","latino","couple","HS","HS","40-60",0
"499","latino","couple","HS","noHS","40-60",0
"500","latino","couple","HS","someCollege","40-60",0
"501","latino","couple","someCollege","BA","40-60",0
"502","latino","couple","someCollege","grad","40-60",0
"503","latino","couple","someCollege","HS","40-60",0
"504","latino","couple","someCollege","noHS","40-60",0
"505","latino","couple","someCollege","someCollege","40-60",0
"506","latino","couple","BA","BA","40-60",0
"507","latino","couple","BA","grad","40-60",0
"508","latino","couple","BA","HS","40-60",0
"509","latino","couple","BA","noHS","40-60",0
"510","latino","couple","BA","someCollege","40-60",0
"511","latino","couple","grad","BA","40-60",0
"512","latino","couple","grad","grad","40-60",0
"513","latino","couple","grad","HS","40-60",0
"514","latino","couple","grad","noHS","40-60",0
"515","latino","couple","grad","someCollege","40-60",0
