"race","income","icon","gender","familyType","education"
"white","inc020",4,"man","single","noHS"
"white","inc020",7,"man","single","HS"
"white","inc020",7,"man","single","someCollege"
"white","inc020",4,"man","single","BA"
"white","inc020",1,"man","single","grad"
"black","inc020",2,"man","single","noHS"
"black","inc020",2,"man","single","HS"
"black","inc020",2,"man","single","someCollege"
"black","inc020",0,"man","single","BA"
"black","inc020",0,"man","single","grad"
"latino","inc020",3,"man","single","noHS"
"latino","inc020",2,"man","single","HS"
"latino","inc020",1,"man","single","someCollege"
"latino","inc020",0,"man","single","BA"
"latino","inc020",0,"man","single","grad"
"other","inc020",0,"man","single","noHS"
"other","inc020",1,"man","single","HS"
"other","inc020",1,"man","single","someCollege"
"other","inc020",0,"man","single","BA"
"other","inc020",0,"man","single","grad"
"white","inc020",6,"woman","single","noHS"
"white","inc020",12,"woman","single","HS"
"white","inc020",10,"woman","single","someCollege"
"white","inc020",4,"woman","single","BA"
"white","inc020",1,"woman","single","grad"
"black","inc020",2,"woman","single","noHS"
"black","inc020",3,"woman","single","HS"
"black","inc020",2,"woman","single","someCollege"
"black","inc020",1,"woman","single","BA"
"black","inc020",1,"woman","single","grad"
"latino","inc020",2,"woman","single","noHS"
"latino","inc020",1,"woman","single","HS"
"latino","inc020",1,"woman","single","someCollege"
"latino","inc020",0,"woman","single","BA"
"latino","inc020",0,"woman","single","grad"
"other","inc020",1,"woman","single","noHS"
"other","inc020",1,"woman","single","HS"
"other","inc020",1,"woman","single","someCollege"
"other","inc020",1,"woman","single","BA"
"other","inc020",0,"woman","single","grad"
"white","inc020",0,"man","single with dependent","noHS"
"white","inc020",0,"man","single with dependent","HS"
"white","inc020",0,"man","single with dependent","someCollege"
"white","inc020",1,"man","single with dependent","BA"
"white","inc020",0,"man","single with dependent","grad"
"black","inc020",0,"man","single with dependent","noHS"
"black","inc020",1,"man","single with dependent","HS"
"black","inc020",0,"man","single with dependent","someCollege"
"black","inc020",0,"man","single with dependent","BA"
"black","inc020",0,"man","single with dependent","grad"
"latino","inc020",1,"man","single with dependent","noHS"
"latino","inc020",0,"man","single with dependent","HS"
"latino","inc020",0,"man","single with dependent","someCollege"
"latino","inc020",0,"man","single with dependent","BA"
"latino","inc020",0,"man","single with dependent","grad"
"other","inc020",0,"man","single with dependent","noHS"
"other","inc020",0,"man","single with dependent","HS"
"other","inc020",1,"man","single with dependent","someCollege"
"other","inc020",0,"man","single with dependent","BA"
"other","inc020",0,"man","single with dependent","grad"
"white","inc020",1,"woman","single with dependent","noHS"
"white","inc020",3,"woman","single with dependent","HS"
"white","inc020",4,"woman","single with dependent","someCollege"
"white","inc020",1,"woman","single with dependent","BA"
"white","inc020",0,"woman","single with dependent","grad"
"black","inc020",2,"woman","single with dependent","noHS"
"black","inc020",3,"woman","single with dependent","HS"
"black","inc020",2,"woman","single with dependent","someCollege"
"black","inc020",0,"woman","single with dependent","BA"
"black","inc020",0,"woman","single with dependent","grad"
"latino","inc020",3,"woman","single with dependent","noHS"
"latino","inc020",1,"woman","single with dependent","HS"
"latino","inc020",1,"woman","single with dependent","someCollege"
"latino","inc020",0,"woman","single with dependent","BA"
"latino","inc020",0,"woman","single with dependent","grad"
"other","inc020",0,"woman","single with dependent","noHS"
"other","inc020",1,"woman","single with dependent","HS"
"other","inc020",0,"woman","single with dependent","someCollege"
"other","inc020",0,"woman","single with dependent","BA"
"other","inc020",0,"woman","single with dependent","grad"
"white","inc2040",1,"man","single","noHS"
"white","inc2040",6,"man","single","HS"
"white","inc2040",7,"man","single","someCollege"
"white","inc2040",5,"man","single","BA"
"white","inc2040",2,"man","single","grad"
"black","inc2040",0,"man","single","noHS"
"black","inc2040",2,"man","single","HS"
"black","inc2040",1,"man","single","someCollege"
"black","inc2040",1,"man","single","BA"
"black","inc2040",0,"man","single","grad"
"latino","inc2040",2,"man","single","noHS"
"latino","inc2040",2,"man","single","HS"
"latino","inc2040",1,"man","single","someCollege"
"latino","inc2040",0,"man","single","BA"
"latino","inc2040",0,"man","single","grad"
"other","inc2040",0,"man","single","noHS"
"other","inc2040",0,"man","single","HS"
"other","inc2040",1,"man","single","someCollege"
"other","inc2040",0,"man","single","BA"
"other","inc2040",0,"man","single","grad"
"white","inc2040",2,"woman","single","noHS"
"white","inc2040",8,"woman","single","HS"
"white","inc2040",6,"woman","single","someCollege"
"white","inc2040",7,"woman","single","BA"
"white","inc2040",2,"woman","single","grad"
"black","inc2040",1,"woman","single","noHS"
"black","inc2040",1,"woman","single","HS"
"black","inc2040",2,"woman","single","someCollege"
"black","inc2040",0,"woman","single","BA"
"black","inc2040",0,"woman","single","grad"
"latino","inc2040",0,"woman","single","noHS"
"latino","inc2040",1,"woman","single","HS"
"latino","inc2040",1,"woman","single","someCollege"
"latino","inc2040",0,"woman","single","BA"
"latino","inc2040",0,"woman","single","grad"
"other","inc2040",0,"woman","single","noHS"
"other","inc2040",0,"woman","single","HS"
"other","inc2040",1,"woman","single","someCollege"
"other","inc2040",0,"woman","single","BA"
"other","inc2040",0,"woman","single","grad"
"white","inc2040",0,"man","single with dependent","noHS"
"white","inc2040",1,"man","single with dependent","HS"
"white","inc2040",2,"man","single with dependent","someCollege"
"white","inc2040",1,"man","single with dependent","BA"
"white","inc2040",0,"man","single with dependent","grad"
"black","inc2040",1,"man","single with dependent","noHS"
"black","inc2040",0,"man","single with dependent","HS"
"black","inc2040",0,"man","single with dependent","someCollege"
"black","inc2040",0,"man","single with dependent","BA"
"black","inc2040",0,"man","single with dependent","grad"
"latino","inc2040",0,"man","single with dependent","noHS"
"latino","inc2040",1,"man","single with dependent","HS"
"latino","inc2040",0,"man","single with dependent","someCollege"
"latino","inc2040",0,"man","single with dependent","BA"
"latino","inc2040",0,"man","single with dependent","grad"
"other","inc2040",0,"man","single with dependent","noHS"
"other","inc2040",1,"man","single with dependent","HS"
"other","inc2040",0,"man","single with dependent","someCollege"
"other","inc2040",0,"man","single with dependent","BA"
"other","inc2040",0,"man","single with dependent","grad"
"white","inc2040",1,"woman","single with dependent","noHS"
"white","inc2040",3,"woman","single with dependent","HS"
"white","inc2040",3,"woman","single with dependent","someCollege"
"white","inc2040",1,"woman","single with dependent","BA"
"white","inc2040",1,"woman","single with dependent","grad"
"black","inc2040",0,"woman","single with dependent","noHS"
"black","inc2040",2,"woman","single with dependent","HS"
"black","inc2040",3,"woman","single with dependent","someCollege"
"black","inc2040",1,"woman","single with dependent","BA"
"black","inc2040",0,"woman","single with dependent","grad"
"latino","inc2040",1,"woman","single with dependent","noHS"
"latino","inc2040",2,"woman","single with dependent","HS"
"latino","inc2040",1,"woman","single with dependent","someCollege"
"latino","inc2040",0,"woman","single with dependent","BA"
"latino","inc2040",0,"woman","single with dependent","grad"
"other","inc2040",0,"woman","single with dependent","noHS"
"other","inc2040",0,"woman","single with dependent","HS"
"other","inc2040",1,"woman","single with dependent","someCollege"
"other","inc2040",0,"woman","single with dependent","BA"
"other","inc2040",0,"woman","single with dependent","grad"
"white","inc4060",0,"man","single","noHS"
"white","inc4060",4,"man","single","HS"
"white","inc4060",4,"man","single","someCollege"
"white","inc4060",5,"man","single","BA"
"white","inc4060",1,"man","single","grad"
"black","inc4060",0,"man","single","noHS"
"black","inc4060",1,"man","single","HS"
"black","inc4060",1,"man","single","someCollege"
"black","inc4060",0,"man","single","BA"
"black","inc4060",0,"man","single","grad"
"latino","inc4060",0,"man","single","noHS"
"latino","inc4060",0,"man","single","HS"
"latino","inc4060",1,"man","single","someCollege"
"latino","inc4060",0,"man","single","BA"
"latino","inc4060",0,"man","single","grad"
"other","inc4060",1,"man","single","noHS"
"other","inc4060",0,"man","single","HS"
"other","inc4060",0,"man","single","someCollege"
"other","inc4060",0,"man","single","BA"
"other","inc4060",1,"man","single","grad"
"white","inc4060",0,"woman","single","noHS"
"white","inc4060",1,"woman","single","HS"
"white","inc4060",5,"woman","single","someCollege"
"white","inc4060",3,"woman","single","BA"
"white","inc4060",2,"woman","single","grad"
"black","inc4060",0,"woman","single","noHS"
"black","inc4060",1,"woman","single","HS"
"black","inc4060",1,"woman","single","someCollege"
"black","inc4060",0,"woman","single","BA"
"black","inc4060",0,"woman","single","grad"
"latino","inc4060",0,"woman","single","noHS"
"latino","inc4060",0,"woman","single","HS"
"latino","inc4060",0,"woman","single","someCollege"
"latino","inc4060",1,"woman","single","BA"
"latino","inc4060",1,"woman","single","grad"
"other","inc4060",0,"woman","single","noHS"
"other","inc4060",0,"woman","single","HS"
"other","inc4060",0,"woman","single","someCollege"
"other","inc4060",1,"woman","single","BA"
"other","inc4060",0,"woman","single","grad"
"white","inc4060",1,"man","single with dependent","noHS"
"white","inc4060",2,"man","single with dependent","HS"
"white","inc4060",1,"man","single with dependent","someCollege"
"white","inc4060",0,"man","single with dependent","BA"
"white","inc4060",0,"man","single with dependent","grad"
"black","inc4060",0,"man","single with dependent","noHS"
"black","inc4060",0,"man","single with dependent","HS"
"black","inc4060",0,"man","single with dependent","someCollege"
"black","inc4060",0,"man","single with dependent","BA"
"black","inc4060",0,"man","single with dependent","grad"
"latino","inc4060",0,"man","single with dependent","noHS"
"latino","inc4060",0,"man","single with dependent","HS"
"latino","inc4060",1,"man","single with dependent","someCollege"
"latino","inc4060",0,"man","single with dependent","BA"
"latino","inc4060",0,"man","single with dependent","grad"
"other","inc4060",0,"man","single with dependent","noHS"
"other","inc4060",0,"man","single with dependent","HS"
"other","inc4060",0,"man","single with dependent","someCollege"
"other","inc4060",0,"man","single with dependent","BA"
"other","inc4060",0,"man","single with dependent","grad"
"white","inc4060",1,"woman","single with dependent","noHS"
"white","inc4060",2,"woman","single with dependent","HS"
"white","inc4060",1,"woman","single with dependent","someCollege"
"white","inc4060",2,"woman","single with dependent","BA"
"white","inc4060",1,"woman","single with dependent","grad"
"black","inc4060",0,"woman","single with dependent","noHS"
"black","inc4060",1,"woman","single with dependent","HS"
"black","inc4060",2,"woman","single with dependent","someCollege"
"black","inc4060",0,"woman","single with dependent","BA"
"black","inc4060",0,"woman","single with dependent","grad"
"latino","inc4060",0,"woman","single with dependent","noHS"
"latino","inc4060",1,"woman","single with dependent","HS"
"latino","inc4060",1,"woman","single with dependent","someCollege"
"latino","inc4060",0,"woman","single with dependent","BA"
"latino","inc4060",0,"woman","single with dependent","grad"
"other","inc4060",0,"woman","single with dependent","noHS"
"other","inc4060",0,"woman","single with dependent","HS"
"other","inc4060",0,"woman","single with dependent","someCollege"
"other","inc4060",0,"woman","single with dependent","BA"
"other","inc4060",0,"woman","single with dependent","grad"
"white","inc6080",0,"man","single","noHS"
"white","inc6080",2,"man","single","HS"
"white","inc6080",3,"man","single","someCollege"
"white","inc6080",2,"man","single","BA"
"white","inc6080",1,"man","single","grad"
"black","inc6080",0,"man","single","noHS"
"black","inc6080",0,"man","single","HS"
"black","inc6080",0,"man","single","someCollege"
"black","inc6080",0,"man","single","BA"
"black","inc6080",1,"man","single","grad"
"latino","inc6080",0,"man","single","noHS"
"latino","inc6080",0,"man","single","HS"
"latino","inc6080",0,"man","single","someCollege"
"latino","inc6080",0,"man","single","BA"
"latino","inc6080",0,"man","single","grad"
"other","inc6080",0,"man","single","noHS"
"other","inc6080",0,"man","single","HS"
"other","inc6080",0,"man","single","someCollege"
"other","inc6080",1,"man","single","BA"
"other","inc6080",0,"man","single","grad"
"white","inc6080",0,"woman","single","noHS"
"white","inc6080",1,"woman","single","HS"
"white","inc6080",2,"woman","single","someCollege"
"white","inc6080",3,"woman","single","BA"
"white","inc6080",1,"woman","single","grad"
"black","inc6080",0,"woman","single","noHS"
"black","inc6080",0,"woman","single","HS"
"black","inc6080",0,"woman","single","someCollege"
"black","inc6080",0,"woman","single","BA"
"black","inc6080",1,"woman","single","grad"
"latino","inc6080",0,"woman","single","noHS"
"latino","inc6080",0,"woman","single","HS"
"latino","inc6080",0,"woman","single","someCollege"
"latino","inc6080",0,"woman","single","BA"
"latino","inc6080",0,"woman","single","grad"
"other","inc6080",0,"woman","single","noHS"
"other","inc6080",0,"woman","single","HS"
"other","inc6080",0,"woman","single","someCollege"
"other","inc6080",0,"woman","single","BA"
"other","inc6080",0,"woman","single","grad"
"white","inc6080",0,"man","single with dependent","noHS"
"white","inc6080",1,"man","single with dependent","HS"
"white","inc6080",1,"man","single with dependent","someCollege"
"white","inc6080",0,"man","single with dependent","BA"
"white","inc6080",0,"man","single with dependent","grad"
"black","inc6080",0,"man","single with dependent","noHS"
"black","inc6080",0,"man","single with dependent","HS"
"black","inc6080",1,"man","single with dependent","someCollege"
"black","inc6080",0,"man","single with dependent","BA"
"black","inc6080",0,"man","single with dependent","grad"
"latino","inc6080",0,"man","single with dependent","noHS"
"latino","inc6080",0,"man","single with dependent","HS"
"latino","inc6080",0,"man","single with dependent","someCollege"
"latino","inc6080",0,"man","single with dependent","BA"
"latino","inc6080",0,"man","single with dependent","grad"
"other","inc6080",0,"man","single with dependent","noHS"
"other","inc6080",0,"man","single with dependent","HS"
"other","inc6080",0,"man","single with dependent","someCollege"
"other","inc6080",0,"man","single with dependent","BA"
"other","inc6080",0,"man","single with dependent","grad"
"white","inc6080",1,"woman","single with dependent","noHS"
"white","inc6080",1,"woman","single with dependent","HS"
"white","inc6080",2,"woman","single with dependent","someCollege"
"white","inc6080",0,"woman","single with dependent","BA"
"white","inc6080",0,"woman","single with dependent","grad"
"black","inc6080",0,"woman","single with dependent","noHS"
"black","inc6080",0,"woman","single with dependent","HS"
"black","inc6080",0,"woman","single with dependent","someCollege"
"black","inc6080",0,"woman","single with dependent","BA"
"black","inc6080",1,"woman","single with dependent","grad"
"latino","inc6080",0,"woman","single with dependent","noHS"
"latino","inc6080",0,"woman","single with dependent","HS"
"latino","inc6080",0,"woman","single with dependent","someCollege"
"latino","inc6080",1,"woman","single with dependent","BA"
"latino","inc6080",0,"woman","single with dependent","grad"
"other","inc6080",0,"woman","single with dependent","noHS"
"other","inc6080",1,"woman","single with dependent","HS"
"other","inc6080",0,"woman","single with dependent","someCollege"
"other","inc6080",0,"woman","single with dependent","BA"
"other","inc6080",0,"woman","single with dependent","grad"
"white","inc80100",0,"man","single","noHS"
"white","inc80100",1,"man","single","HS"
"white","inc80100",0,"man","single","someCollege"
"white","inc80100",0,"man","single","BA"
"white","inc80100",1,"man","single","grad"
"black","inc80100",0,"man","single","noHS"
"black","inc80100",0,"man","single","HS"
"black","inc80100",0,"man","single","someCollege"
"black","inc80100",1,"man","single","BA"
"black","inc80100",0,"man","single","grad"
"latino","inc80100",0,"man","single","noHS"
"latino","inc80100",0,"man","single","HS"
"latino","inc80100",0,"man","single","someCollege"
"latino","inc80100",1,"man","single","BA"
"latino","inc80100",0,"man","single","grad"
"other","inc80100",0,"man","single","noHS"
"other","inc80100",0,"man","single","HS"
"other","inc80100",0,"man","single","someCollege"
"other","inc80100",0,"man","single","BA"
"other","inc80100",0,"man","single","grad"
"white","inc80100",0,"woman","single","noHS"
"white","inc80100",0,"woman","single","HS"
"white","inc80100",1,"woman","single","someCollege"
"white","inc80100",1,"woman","single","BA"
"white","inc80100",1,"woman","single","grad"
"black","inc80100",0,"woman","single","noHS"
"black","inc80100",0,"woman","single","HS"
"black","inc80100",0,"woman","single","someCollege"
"black","inc80100",1,"woman","single","BA"
"black","inc80100",0,"woman","single","grad"
"latino","inc80100",0,"woman","single","noHS"
"latino","inc80100",0,"woman","single","HS"
"latino","inc80100",0,"woman","single","someCollege"
"latino","inc80100",0,"woman","single","BA"
"latino","inc80100",0,"woman","single","grad"
"other","inc80100",0,"woman","single","noHS"
"other","inc80100",0,"woman","single","HS"
"other","inc80100",0,"woman","single","someCollege"
"other","inc80100",0,"woman","single","BA"
"other","inc80100",0,"woman","single","grad"
"white","inc80100",0,"man","single with dependent","noHS"
"white","inc80100",1,"man","single with dependent","HS"
"white","inc80100",0,"man","single with dependent","someCollege"
"white","inc80100",0,"man","single with dependent","BA"
"white","inc80100",0,"man","single with dependent","grad"
"black","inc80100",0,"man","single with dependent","noHS"
"black","inc80100",0,"man","single with dependent","HS"
"black","inc80100",0,"man","single with dependent","someCollege"
"black","inc80100",0,"man","single with dependent","BA"
"black","inc80100",0,"man","single with dependent","grad"
"latino","inc80100",0,"man","single with dependent","noHS"
"latino","inc80100",0,"man","single with dependent","HS"
"latino","inc80100",0,"man","single with dependent","someCollege"
"latino","inc80100",0,"man","single with dependent","BA"
"latino","inc80100",0,"man","single with dependent","grad"
"other","inc80100",0,"man","single with dependent","noHS"
"other","inc80100",0,"man","single with dependent","HS"
"other","inc80100",0,"man","single with dependent","someCollege"
"other","inc80100",0,"man","single with dependent","BA"
"other","inc80100",1,"man","single with dependent","grad"
"white","inc80100",0,"woman","single with dependent","noHS"
"white","inc80100",1,"woman","single with dependent","HS"
"white","inc80100",1,"woman","single with dependent","someCollege"
"white","inc80100",1,"woman","single with dependent","BA"
"white","inc80100",0,"woman","single with dependent","grad"
"black","inc80100",0,"woman","single with dependent","noHS"
"black","inc80100",0,"woman","single with dependent","HS"
"black","inc80100",0,"woman","single with dependent","someCollege"
"black","inc80100",0,"woman","single with dependent","BA"
"black","inc80100",0,"woman","single with dependent","grad"
"latino","inc80100",0,"woman","single with dependent","noHS"
"latino","inc80100",0,"woman","single with dependent","HS"
"latino","inc80100",1,"woman","single with dependent","someCollege"
"latino","inc80100",0,"woman","single with dependent","BA"
"latino","inc80100",0,"woman","single with dependent","grad"
"other","inc80100",0,"woman","single with dependent","noHS"
"other","inc80100",0,"woman","single with dependent","HS"
"other","inc80100",0,"woman","single with dependent","someCollege"
"other","inc80100",0,"woman","single with dependent","BA"
"other","inc80100",0,"woman","single with dependent","grad"
"white","inc100125",0,"man","single","noHS"
"white","inc100125",0,"man","single","HS"
"white","inc100125",1,"man","single","someCollege"
"white","inc100125",1,"man","single","BA"
"white","inc100125",0,"man","single","grad"
"black","inc100125",0,"man","single","noHS"
"black","inc100125",0,"man","single","HS"
"black","inc100125",0,"man","single","someCollege"
"black","inc100125",0,"man","single","BA"
"black","inc100125",0,"man","single","grad"
"latino","inc100125",0,"man","single","noHS"
"latino","inc100125",0,"man","single","HS"
"latino","inc100125",0,"man","single","someCollege"
"latino","inc100125",0,"man","single","BA"
"latino","inc100125",0,"man","single","grad"
"other","inc100125",0,"man","single","noHS"
"other","inc100125",0,"man","single","HS"
"other","inc100125",0,"man","single","someCollege"
"other","inc100125",0,"man","single","BA"
"other","inc100125",1,"man","single","grad"
"white","inc100125",0,"woman","single","noHS"
"white","inc100125",1,"woman","single","HS"
"white","inc100125",0,"woman","single","someCollege"
"white","inc100125",0,"woman","single","BA"
"white","inc100125",1,"woman","single","grad"
"black","inc100125",0,"woman","single","noHS"
"black","inc100125",0,"woman","single","HS"
"black","inc100125",0,"woman","single","someCollege"
